순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
35,백두산,2019-12-19,69826806300,8252909,1971,174328,한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
36,과속스캔들,2008-12-03,53801341400,8223342,408,145556,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
37,국가대표,2009-07-29,57570773000,8035181,570,131671,한국,한국,(주)쇼박스
38,스파이더맨: 파 프롬 홈,2019-07-02,69033177100,8023606,2142,181035,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
39,디워,2007-08-01,49340084700,7855474,622,96439,한국,한국,(주)쇼박스
40,공조,2017-01-18,63783303326,7817654,1392,142991,한국,한국,(주)씨제이이엔엠
41,트랜스포머 3,2011-06-29,74842906588,7785189,1409,124464,미국,미국,(주)씨제이이엔엠
42,히말라야,2015-12-16,60175363015,7759761,1095,142715,한국,한국,(주)씨제이이엔엠
43,미션임파서블:고스트프로토콜,2011-12-15,57302548500,7508976,1024,114771,미국,미국,(주)씨제이이엔엠
44,밀정,2016-09-07,61270079831,7500457,1444,138162,한국,"한국,미국",워너브러더스 코리아(주)
45,최종병기 활,2011-08-10,55827861500,7470633,615,130055,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
46,트랜스포머,2007-06-28,47710604338,7402732,863,92704,미국,미국,CJ ENM
47,트랜스포머: 패자의 역습,2009-06-24,50699866000,7393443,1154,115150,미국,미국,CJ ENM
48,써니,2011-05-04,54038534700,7363139,546,149154,한국,한국,(주)씨제이이엔엠
49,스파이더맨: 홈 커밍,2017-07-05,59125813820,7258678,1965,164448,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
50,1987,2017-12-27,58170216145,7232452,1299,138231,한국,한국,(주)씨제이이엔엠
51,스파이더맨: 노 웨이 홈,2021-12-15,72068313910,7189040,2948,240693,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
52,베를린,2013-01-30,52358372637,7166688,894,111760,한국,"한국,독일",(주)씨제이이엔엠
53,마스터,2016-12-21,58068236865,7150586,1501,126927,한국,한국,(주)씨제이이엔엠
54,터널,2016-08-10,57530028417,7120780,1105,113214,한국,한국,(주)쇼박스
55,어벤져스,2012-04-26,59634896458,7087068,967,112526,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
56,내부자들,2015-11-19,56605193557,7073581,1129,152783,한국,한국,(주)쇼박스
57,인천상륙작전,2016-07-27,55112241303,7051237,1049,97035,한국,한국,(주)씨제이이엔엠
58,럭키,2016-10-13,56445323256,6975631,1234,155991,한국,한국,(주)쇼박스
59,은밀하게 위대하게,2013-06-05,48700887413,6959083,1341,117463,한국,한국,(주)쇼박스
60,범죄도시,2017-10-03,56322153349,6880546,1315,149389,한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
61,곡성,2016-05-12,55864308382,6879989,1485,130332,한국,"한국,미국",이십세기폭스코리아(주)
62,화려한 휴가,2007-07-25,44098824600,6855433,551,96536,한국,한국,CJ ENM
63,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,43755980300,6686075,824,93589,한국,한국,CJ ENM
64,늑대소년,2012-10-31,46596361400,6655294,854,109261,한국,한국,(주)씨제이이엔엠
65,군함도,2017-07-26,50510565168,6592151,2027,108775,한국,한국,(주)씨제이이엔엠
66,미션 임파서블: 폴아웃,2018-07-25,55888375112,6584915,1957,101374,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
67,웰컴 투 동막골,2005-08-04,40329355500,6436900,356,72129,한국,한국,(주)쇼박스
68,다크 나이트 라이즈,2012-07-19,47910613000,6428574,1210,84755,미국,"미국,영국",워너브러더스 코리아(주)
69,사도,2015-09-16,48846723501,6247745,1210,124276,한국,한국,(주)쇼박스
70,아저씨,2010-08-04,47110894000,6179525,501,110109,한국,한국,CJ ENM
71,킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,6129681,728,139988,미국,"미국,영국",이십세기폭스코리아(주)
72,미션 임파서블: 로그네이션,2015-07-30,48547353607,6126488,1202,89683,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
73,미녀는 괴로워,2006-12-14,36292848900,6081480,418,87141,한국,한국,(주)쇼박스
74,전우치,2009-12-23,44093407200,6065474,612,102357,한국,한국,CJ ENM
75,연평해전,2015-06-24,45569255830,6045199,1013,114490,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
76,인셉션,2010-07-21,44862253440,5998647,531,92909,미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
77,레미제라블,2012-12-19,43185230000,5938769,696,85092,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
78,캡틴 마블,2019-03-06,51507488723,5802810,2100,186382,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
79,타짜,2006-09-28,36263483300,5692997,492,77625,한국,한국,CJ ENM
80,쥬라기 월드: 폴른 킹덤,2018-06-06,49770711037,5661128,1972,144779,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
81,청년경찰,2017-08-09,44382020516,5653444,1102,118547,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
82,숨바꼭질,2013-08-14,39602995500,5604106,779,88066,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
83,덕혜옹주,2016-08-03,44397617609,5599995,964,97327,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
84,더 테러 라이브,2013-07-31,39870954381,5584295,809,93489,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
85,쥬라기 월드,2015-06-11,47804159826,5547463,1290,119248,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
86,감시자들,2013-07-03,39389732679,5509019,949,100349,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
87,앤트맨과 와스프,2018-07-04,47468053685,5448134,1775,148244,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
88,닥터 스트레인지,2016-10-26,47490572396,5447269,1503,162879,미국,미국,월트디즈니컴퍼니코리아(주)
